Last Activity Date,部署,Display Name,Meeting Created Count の合計,Read Count の合計,Receive Count の合計,Meeting Interacted Count の合計,Report Period の合計
2022/12/23 0:00,その他,ユーザー3665,103,25106,26035,44,180
2022/12/23 0:00,その他,ユーザー6012,103,10812,11993,20,180
2022/12/23 0:00,部署 A,ユーザー0987,102,3423,6246,41,180
2022/12/23 0:00,その他,ユーザー1883,102,5732,5613,14,180
2022/12/23 0:00,その他,ユーザー2601,102,4141,4937,71,180
2022/12/23 0:00,その他,ユーザー5086,102,2534,6308,151,180
2022/12/23 0:00,部署 A,ユーザー1354,101,9408,8779,176,180
2022/12/23 0:00,その他,ユーザー2312,101,1944,2986,12,180
2022/12/24 0:00,その他,ユーザー2495,101,5743,5058,72,180
2022/12/23 0:00,その他,ユーザー2946,101,16955,16948,28,180
2022/12/23 0:00,その他,ユーザー4644,101,5689,5135,76,180
2022/12/23 0:00,その他,ユーザー5659,101,1894,1990,12,180
2022/12/23 0:00,その他,ユーザー6181,101,10256,10148,17,180
2022/12/23 0:00,その他,ユーザー2211,100,2623,6411,162,180
2022/12/23 0:00,その他,ユーザー6443,100,1879,1798,13,180
2022/12/23 0:00,部署 A,ユーザー0254,99,9871,9593,55,180
2022/12/23 0:00,部署 A,ユーザー1274,99,10443,10273,21,180
2022/12/23 0:00,その他,ユーザー5088,99,5849,21918,42,180
2022/12/24 0:00,部署 A,ユーザー0516,98,6635,6572,15,180
2022/12/23 0:00,部署 A,ユーザー0356,97,4757,4391,49,180
2022/12/23 0:00,部署 A,ユーザー1167,97,1172,2367,22,180
2022/12/23 0:00,その他,ユーザー7792,97,4445,4470,31,180
2022/12/24 0:00,部署 A,ユーザー0536,96,1622,1612,126,180
2022/12/23 0:00,その他,ユーザー3040,96,4729,5223,29,180
2022/12/22 0:00,その他,ユーザー3708,96,2817,3181,7,180
2022/12/23 0:00,その他,ユーザー6524,96,6428,6281,36,180
2022/12/24 0:00,その他,ユーザー7162,96,6776,6660,15,180
2022/12/23 0:00,部署 A,ユーザー0799,95,23097,24564,64,180
2022/12/23 0:00,その他,ユーザー1837,95,3800,3576,27,180
2022/12/23 0:00,部署 A,ユーザー0151,94,6027,7556,29,180
2022/12/23 0:00,部署 A,ユーザー0388,94,25088,31748,31,180
2022/12/23 0:00,その他,ユーザー3571,94,7192,11068,46,180
2022/12/24 0:00,その他,ユーザー3843,94,6942,7137,354,180
2022/12/23 0:00,その他,ユーザー5498,94,2443,3713,16,180
2022/12/23 0:00,部署 A,ユーザー0813,93,1205,1671,248,180
2022/12/23 0:00,その他,ユーザー2181,93,5034,4782,18,180
2022/12/23 0:00,その他,ユーザー3366,93,5890,5995,70,180
2022/11/15 0:00,その他,ユーザー4628,93,10251,19562,47,180
2022/12/24 0:00,その他,ユーザー4655,93,16118,15897,14,180
2022/12/23 0:00,その他,ユーザー4663,93,15953,19385,19,180
2022/12/23 0:00,部署 A,ユーザー1138,92,5552,5474,9,180
2022/12/24 0:00,部署 A,ユーザー1634,92,19561,20023,59,180
2022/12/24 0:00,その他,ユーザー2765,92,13799,13634,125,180
2022/12/23 0:00,その他,ユーザー3963,92,6699,6362,77,180
2022/12/23 0:00,その他,ユーザー5070,92,3386,3289,19,180
2022/12/23 0:00,部署 A,ユーザー0080,91,3306,3463,8,180
2022/12/24 0:00,部署 A,ユーザー1635,91,11808,11978,83,180
2022/12/23 0:00,その他,ユーザー2396,91,12778,13808,21,180
2022/12/24 0:00,その他,ユーザー7193,91,7831,7966,7,180
2022/12/23 0:00,その他,ユーザー7331,91,2127,6329,10,180
2022/12/24 0:00,その他,ユーザー2127,90,9459,8991,118,180
2022/12/23 0:00,その他,ユーザー5083,90,5015,4146,93,180
2022/12/24 0:00,その他,ユーザー4266,89,5521,5960,71,180
2022/12/24 0:00,その他,ユーザー4951,89,6338,4237,97,180
2022/12/23 0:00,その他,ユーザー3298,88,7366,7043,19,180
2022/10/21 0:00,その他,ユーザー5499,88,4772,4672,27,180
2022/12/23 0:00,その他,ユーザー1938,87,1141,3121,15,180
2022/12/23 0:00,その他,ユーザー3704,87,14257,12907,11,180
2022/12/23 0:00,その他,ユーザー5541,87,3240,4378,11,180
2022/12/24 0:00,部署 A,ユーザー1393,86,9698,9660,129,180
2022/12/24 0:00,その他,ユーザー7522,86,6193,7023,70,180
2022/12/23 0:00,部署 A,ユーザー0534,85,1640,1893,108,180
2022/12/24 0:00,部署 A,ユーザー0763,85,9653,8016,81,180
2022/12/23 0:00,その他,ユーザー1914,85,18005,17487,19,180
2022/12/24 0:00,その他,ユーザー4511,85,6765,6587,18,180
2022/12/23 0:00,その他,ユーザー7423,85,5459,5236,37,180
2022/12/23 0:00,その他,ユーザー7816,85,3267,3150,58,180
